No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
53,ENG210Lec3,Computer Architecture,4,"Sadek, Zeyad Remah",HUB-117 Software Lab,T,9:00:00 AM,10:59:00 AM,24,20
,,,,"Kaur, Kuljeet",MGT-204,W,6:00:00 PM,8:59:00 PM,24,20
54,ENG210Lec4,Computer Architecture,4,"Seyam, Ahmed",HUB-117 Software Lab,M,1:00:00 PM,2:59:00 PM,24,25
,,,,"Kaur, Kuljeet",MGT-204,W,6:00:00 PM,8:59:00 PM,24,25
55,ENG210LecEE5,Computer Architecture,4,"Sadek, Zeyad Remah",HUB-117 Software Lab,M,3:00:00 PM,4:59:00 PM,24,24
,,,,"Kaur, Kuljeet",MGT-106,R,3:00:00 PM,5:59:00 PM,24,24
56,ENG222Lec1,Engineering Electromagnetics,3,"Hamza, Djilali",MGT-106,T,12:00:00 PM,1:59:00 PM,20,20
,,,,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,W,3:00:00 PM,4:59:00 PM,20,20
57,ENG222Lec2,Engineering Electromagnetics,3,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,M,11:00:00 AM,12:59:00 PM,11,12
,,,,"Hamza, Djilali",MGT-106,T,12:00:00 PM,1:59:00 PM,11,12
58,ENG223Lec1,Electric Circuit 2,3,"Hamza, Djilali",MGT-107,T,4:00:00 PM,5:59:00 PM,18,7
,,,,"Hamza, Djilali",HUB-116 Electronic Lab,W,11:00:00 AM,12:59:00 PM,18,7
59,ENG223Lec2,Electric Circuit 2,3,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,M,9:00:00 AM,10:59:00 AM,18,14
,,,,"Hamza, Djilali",MGT-107,T,4:00:00 PM,5:59:00 PM,18,14
60,ENG310LecEE1,Electronics 1,3,"El Khatib, Ziad",MGT-102,M,5:00:00 PM,6:59:00 PM,19,18
,,,,"El Khatib, Ziad",HUB-116 Electronic Lab,W,7:00:00 PM,8:59:00 PM,19,18
61,ENG310LecEE2,Electronics 1,3,"El Khatib, Ziad",MGT-102,M,5:00:00 PM,6:59:00 PM,20,4
,,,,"Yousefi, Adel",HUB-104 Mechatronics Lab,R,10:30:00 AM,12:29:00 PM,20,4
62,ENG314Lec1,Electric Machines,3,"Hamza, Djilali",MGT-207,M,6:00:00 PM,7:29:00 PM,35,30
,,,,"Hamza, Djilali",MGT-103,R,10:30:00 AM,11:59:00 AM,35,30
63,ENG315Lec1,Control Systems,3,"Hamza, Djilali",MGT-207,M,3:00:00 PM,5:59:00 PM,35,26
64,ENG401PrjCNET,Graduation Project 2,2,"Moussa, Sherif",,N\A,12:00:00 AM,12:00:00 AM,12,5
65,ENG401PrjEE,Graduation Project 2,2,"Majeed, Salih",,N\A,12:00:00 AM,12:00:00 AM,10,17
66,LNG181Lec1,English I For Engineering & Computing,3,"Ahmad, Sadaf",MGT-211,MW,4:30:00 PM,5:59:00 PM,30,30
67,LNG181Lec2,English I For Engineering & Computing,3,"Cormick, Eamonn",MGT-206,MW,4:30:00 PM,5:59:00 PM,30,27
68,LNG182Lec1,English II For Engineering & Computing,3,"Masri, Taghreed",MGT-103,MW,4:30:00 PM,5:59:00 PM,30,32
69,LNG182Lec2,English II For Engineering & Computing,3,"Ben Seddik, Leila",MGT-103,TR,7:30:00 PM,8:59:00 PM,30,34
70,LNG182Lec3,English II For Engineering & Computing,3,"McClung, Robert John",MGT-103,MW,3:00:00 PM,4:29:00 PM,30,36
71,LNG182Lec4,English II For Engineering & Computing,3,"Albash, Farah",MGT-211,T,1:30:00 PM,2:59:00 PM,30,31
,,,,"Albash, Farah",MGT-211,W,9:00:00 AM,10:29:00 AM,30,31
72,MEC310Lec1,Mechatronics Engineering,3,"Majeed, Salih",MGT-209,T,6:00:00 PM,8:59:00 PM,35,32
73,MEC421Lec1,Robotics,3,"El Khatib, Ziad",HUB-115 Networking Lab,R,3:00:00 PM,4:59:00 PM,24,18
,,,,"El Khatib, Ziad",HUB-104 Mechatronics Lab,R,5:00:00 PM,6:59:00 PM,24,18
74,MEC422Lec1,Mechatronics Systems Design,3,"Majeed, Salih",HUB-104 Mechatronics Lab,T,2:00:00 PM,3:59:00 PM,21,19
,,,,"Majeed, Salih",HUB-104 Mechatronics Lab,W,5:00:00 PM,6:59:00 PM,21,19
75,MEC427Lec1,Computer Integrated Manufacturing (CIM),3,"Majeed, Salih",HUB-104 Mechatronics Lab,W,7:00:00 PM,8:59:00 PM,21,19
,,,,"Majeed, Salih",HUB-104 Mechatronics Lab,R,7:00:00 PM,8:59:00 PM,21,19
76,MTH112Lec1,Calculus 1,3,"Yousefi, Adel",MGT-209,M,2:00:00 PM,2:59:00 PM,40,39
,,,,"Makki, Ahmed",MGT-203,MW,3:00:00 PM,4:29:00 PM,40,39
77,MTH112Lec2,Calculus 1,3,"Sadek, Zeyad Remah",MGT-107,T,3:00:00 PM,3:59:00 PM,40,37
,,,,"Makki, Ahmed",MGT-203,TR,4:30:00 PM,5:59:00 PM,40,37
78,MTH113Lec1,Calculus 2,3,"El Sayed, Ahmed Abdelaziz",MGT-203,MW,12:00:00 PM,1:29:00 PM,35,29
79,MTH113Lec2,Calculus 2,3,"El Sayed, Ahmed Abdelaziz",MGT-203,TR,3:00:00 PM,4:29:00 PM,40,36
80,MTH113Lec3,Calculus 2,3,"El Sayed, Ahmed Abdelaziz",MGT-203,MW,4:30:00 PM,5:59:00 PM,40,38
81,MTH120Lec1,Discrete Mathematics 1,3,"El Sayed, Ahmed Abdelaziz",MGT-101,M,1:30:00 PM,2:59:00 PM,40,41
,,,,"El Sayed, Ahmed Abdelaziz",MGT-204,W,1:30:00 PM,2:59:00 PM,40,41
82,MTH120Lec2,Discrete Mathematics 1,3,"Rani, Rashmi",MGT-203,T,12:00:00 PM,1:29:00 PM,40,25
,,,,"Rani, Rashmi",MGT-203,R,9:00:00 AM,10:29:00 AM,40,25
83,MTH120Lec3,Discrete Mathematics,3,"Rani, Rashmi",MGT-203,T,1:30:00 PM,2:59:00 PM,40,38
,,,,"Rani, Rashmi",MGT-203,R,10:30:00 AM,11:59:00 AM,40,38
84,MTH220Lec1,Ordinary Differential Equations,3,"Kamalov, Firuz",HUB-114,TW,9:00:00 AM,10:29:00 AM,40,29
85,NET110Lec1,Computer Network Fundamentals,3,"Kaur, Kuljeet",MGT-102,M,3:00:00 PM,4:59:00 PM,20,20
,,,,"Kaur, Kuljeet",HUB-115 Networking Lab,W,3:00:00 PM,4:59:00 PM,20,20
86,NET110Lec2,Computer Network Fundamentals,3,"Kaur, Kuljeet",MGT-102,M,3:00:00 PM,4:59:00 PM,20,13
,,,,"Yousefi, Adel",HUB-115 Networking Lab,W,5:00:00 PM,6:59:00 PM,20,13
87,NET111Lec1,Operating Systems Fundamentals,3,"Elnaffar, Said Selim",HUB-119,M,11:00:00 AM,12:59:00 PM,22,21
