No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
67,BSD410Prj1,Software Design Project,6,Staff,,,TB/A,TB/A,10,0
68,BSM100Lec1,The New Business: From Idea To Reality,3,"IP, IP",MGT-204,T,9:00:00 AM,10:59:00 AM,40,5
,,,,"IP, IP",MGT-209,W,1:00:00 PM,2:59:00 PM,40,5
69,BUS400Int1,Internship,3,"IP, IP",,N\A,12:00:00 AM,12:00:00 AM,10,0
70,CMN211Lec1,Language And Power,3,"IP, IP",MGT-102,M,12:00:00 PM,2:59:00 PM,32,4
71,CMN279Lec1,Introduction To Professional Communication,3,"IP, IP",MGT-107,M,6:00:00 PM,8:59:00 PM,35,11
72,CMN448Lec1,Introduction To Visual Communication,3,"IP, IP",MGT-203,R,3:00:00 PM,5:59:00 PM,40,7
73,CMN470Lec1,Risk And Crisis Communication,3,"IP, IP",HUB-113,T,3:00:00 PM,5:59:00 PM,30,7
74,CRI100Lec1,Creative Industries Overview,3,"IP, IP",MGT-203,R,9:00:00 AM,11:59:00 AM,40,4
75,CRI300Lec1,Digital Design Studio,3,"IP, IP",MGT-204,T,1:00:00 PM,2:59:00 PM,22,6
,,,,"IP, IP",HUB-120,W,9:00:00 AM,10:59:00 AM,22,6
76,CRI300Lec2,Digital Design Studio,3,"IP, IP",MGT-204,T,1:00:00 PM,2:59:00 PM,22,9
,,,,"IP, IP",HUB-120,W,1:00:00 PM,2:59:00 PM,22,9
77,CRI301Lec1,The Creative Process,3,"IP, IP",MGT-101,T,9:00:00 AM,11:59:00 AM,40,8
78,CRI402Lec1,Human Resources In Creative Industries,3,"IP, IP",MGT-208,T,6:00:00 PM,8:59:00 PM,38,32
79,CRI403Lec1,Creative Industries Research Methodology,3,"IP, IP",MGT-107,M,3:00:00 PM,5:59:00 PM,32,20
80,CRI430Lec1,Canadian Media/Entertainment Industries,3,"IP, IP",MGT-102,R,3:00:00 PM,5:59:00 PM,35,11
81,CRI461Prj1,Big Night Project - ID,3,"IP, IP",,N\A,12:00:00 AM,12:00:00 AM,25,2
82,CRI463Prj1,Big Night Project - CS,3,"IP, IP",,N\A,12:00:00 AM,12:00:00 AM,24,4
83,CYS411Lec1,Engineering Secure Software,3,"IP, IP",HUB-113,W,6:00:00 PM,8:59:00 PM,21,5
84,DES101Std1,Studio 1 - Introduction To Design,4,"IP, IP",HUB-121,M,9:00:00 AM,9:59:00 AM,20,20
,,,,"IP, IP",HUB-121,M,10:00:00 AM,11:59:00 AM,20,20
,,,,"IP, IP",HUB-121,T,3:00:00 PM,3:59:00 PM,20,20
,,,,"IP, IP",HUB-121,T,4:00:00 PM,5:59:00 PM,20,20
85,DES101Std2,Studio 1 - Introduction To Design,4,"IP, IP",HUB-123,M,9:00:00 AM,9:59:00 AM,20,11
,,,,"IP, IP",HUB-123,M,10:00:00 AM,11:59:00 AM,20,11
,,,,"IP, IP",HUB-123,T,3:00:00 PM,3:59:00 PM,20,11
,,,,"IP, IP",HUB-123,T,4:00:00 PM,5:59:00 PM,20,11
86,DES110Lec1,Design Theory,3,"IP, IP",MGT-204,W,9:00:00 AM,11:59:00 AM,40,33
87,DES171Lec1,Drafting & Modeling,3,"IP, IP",HUB-121,M,3:00:00 PM,4:59:00 PM,20,31
,,,,"IP, IP",HUB-121,M,5:00:00 PM,6:59:00 PM,20,31
88,DES172Lec1,Freehand Drawing & Rendering,3,"IP, IP",HUB-124,R,9:00:00 AM,10:59:00 AM,24,0
,,,,"IP, IP",HUB-124,R,11:00:00 AM,12:59:00 PM,24,0
89,DES221Lec1,History Of Architecture And Interior Design 1,3,"IP, IP",MGT-103,T,9:00:00 AM,11:59:00 AM,35,4
90,DES271Lec1,Computer-Aided Design,3,"IP, IP",General Computer Lab,W,9:00:00 AM,10:59:00 AM,20,1
